,year,price,engine_size,mileage,Diesel,Hybrid,otherFuel,Petrol,Automatic,Manual,otherTransmission,Semi-Auto
0,2020,30495,2.0,1200.0,1,0,0,0,1,0,0,0
1,2020,29989,1.5,1000.0,0,0,0,1,1,0,0,0
2,2020,37899,2.0,500.0,1,0,0,0,1,0,0,0
3,2019,30399,2.0,5000.0,1,0,0,0,1,0,0,0
4,2019,29899,2.0,4500.0,1,0,0,0,1,0,0,0
5,2020,30999,2.0,1000.0,1,0,0,0,1,0,0,0
6,2020,35999,2.0,500.0,1,0,0,0,1,0,0,0
7,2019,37990,3.0,1412.0,0,0,0,1,1,0,0,0
8,2019,28990,2.0,3569.0,1,0,0,0,1,0,0,0
9,2019,28990,2.0,3635.0,1,0,0,0,1,0,0,0
10,2013,9995,160.0,46.3,0,0,0,1,1,0,0,0
11,2012,6995,125.0,58.9,1,0,0,0,1,0,0,0
12,2012,7495,145.0,54.3,1,0,0,0,1,0,0,0
13,2011,8995,150.0,53.3,1,0,0,0,1,0,0,0
14,2015,14995,30.0,62.8,1,0,0,0,1,0,0,0
15,2013,8595,30.0,64.2,1,0,0,0,1,0,0,0
16,2016,19250,125.0,60.1,1,0,0,0,0,0,0,1
17,2017,23500,145.0,67.3,1,0,0,0,0,0,0,1
18,2018,24995,150.0,64.2,1,0,0,0,0,0,0,1
19,2016,29995,305.0,34.5,0,0,0,1,0,0,0,1
20,2014,17990,150.0,49.6,0,0,0,1,1,0,0,0
21,2016,14477,30.0,65.7,1,0,0,0,1,0,0,0
22,2013,10977,145.0,54.3,1,0,0,0,1,0,0,0
23,2016,17977,30.0,64.2,1,0,0,0,1,0,0,0
24,2015,12790,2.1,52000.0,1,0,0,0,1,0,0,0
26,2017,14488,30.0,64.2,1,0,0,0,1,0,0,0
27,2011,7500,125.0,60.1,1,0,0,0,0,1,0,0
28,2013,9750,145.0,53.3,1,0,0,0,1,0,0,0
29,2015,15995,30.0,64.2,1,0,0,0,1,0,0,0
30,2016,15675,20.0,68.9,1,0,0,0,0,1,0,0
31,2016,16475,20.0,68.9,1,0,0,0,0,1,0,0
32,2016,15975,125.0,51.4,0,0,0,1,0,1,0,0
33,2016,16475,30.0,64.2,1,0,0,0,1,0,0,0
34,2015,15975,0.0,76.4,0,1,0,0,1,0,0,0
35,2015,16495,0.0,134.5,0,1,0,0,1,0,0,0
36,2017,17795,150.0,64.2,1,0,0,0,1,0,0,0
37,2017,17875,30.0,64.2,1,0,0,0,1,0,0,0
38,2016,14000,2.1,45000.0,1,0,0,0,1,0,0,0
39,2017,16500,30.0,64.2,1,0,0,0,1,0,0,0
40,2016,21000,2.1,36000.0,1,0,0,0,1,0,0,0
41,2015,15500,30.0,64.2,1,0,0,0,1,0,0,0
42,2013,7250,30.0,64.2,1,0,0,0,0,1,0,0
43,2015,13000,2.1,67150.0,1,0,0,0,1,0,0,0
44,2012,11000,160.0,44.8,0,0,0,1,1,0,0,0
45,2016,13300,20.0,70.6,1,0,0,0,0,1,0,0
46,2016,16000,20.0,68.9,1,0,0,0,0,1,0,0
47,2014,12500,145.0,53.3,1,0,0,0,1,0,0,0
48,2015,14495,115.0,52.3,0,0,0,1,0,1,0,0
49,2017,24500,145.0,65.7,1,0,0,0,1,0,0,0
50,2013,23990,570.0,23.5,0,0,0,1,1,0,0,0
51,2015,17250,30.0,64.2,1,0,0,0,1,0,0,0
52,2015,14200,160.0,44.8,0,0,0,1,1,0,0,0
53,2017,22950,150.0,47.1,0,0,0,1,1,0,0,0
54,2013,10500,145.0,54.3,1,0,0,0,1,0,0,0
55,2014,15650,20.0,64.2,1,0,0,0,1,0,0,0
56,2015,14850,30.0,61.4,1,0,0,0,1,0,0,0
